date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:43	146372/146372	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2006:13:43%20GMT	http://aquaterias.like-themes.com/	C:/Users/DELL/Desktop/VINOD/shreesai/aquaterias.like-themes.com/index.html	(from )
11:43:44	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2004%20Oct%202021%2006:13:43%20GMT	http://aquaterias.like-themes.com/robots.txt		(from )
11:43:44	311/311	---M--	403	error ('Forbidden')	text/html	date:Mon,%2004%20Oct%202021%2006:13:44%20GMT	http://aquaterias.like-themes.com/xmlrpc.php	C:/Users/DELL/Desktop/VINOD/shreesai/aquaterias.like-themes.com/xmlrpc.php	(from http://aquaterias.like-themes.com/)
11:43:48	6738/6738	---M--	200	added ('OK')	text/css	etag:%221a52-5a8091811f62d%22	http://aquaterias.like-themes.com/wp-content/cache/autoptimize/css/autoptimize_dcb2de333eec7ab4ae31385ed8d6a393.css	C:/Users/DELL/Desktop/VINOD/shreesai/aquaterias.like-themes.com/wp-content/cache/autoptimize/css/autoptimize_dcb2de333eec7ab4ae31385ed8d6a393.css	(from http://aquaterias.like-themes.com/)
11:43:51	46358/46358	---M--	200	added ('OK')	text/css	etag:%22b516-582c05ab9a2bb%22	http://aquaterias.like-themes.com/wp-includes/css/dashicons.min.css?ver=5.1.11	C:/Users/DELL/Desktop/VINOD/shreesai/aquaterias.like-themes.com/wp-includes/css/dashicons.min34b1.css	(from http://aquaterias.like-themes.com/)
11:43:55	1356106/1356106	---M--	200	added ('OK')	text/css	etag:%2214b14a-5bffb90a295b4%22	http://aquaterias.like-themes.com/wp-content/cache/autoptimize/css/autoptimize_8d6bfa676b4b004306924c006cb21bb0.css	C:/Users/DELL/Desktop/VINOD/shreesai/aquaterias.like-themes.com/wp-content/cache/autoptimize/css/autoptimize_8d6bfa676b4b004306924c006cb21bb0.css	(from http://aquaterias.like-themes.com/)
11:43:56	752/752	---M--	200	added ('OK')	application/rss+xml	etag:%225a18b4b6aeb89c974d39348fab5fb176%22	http://aquaterias.like-themes.com/comments/feed/	C:/Users/DELL/Desktop/VINOD/shreesai/aquaterias.like-themes.com/comments/feed/index.html	(from http://aquaterias.like-themes.com/)
11:43:56	3161/3161	---M--	200	added ('OK')	text/calendar	date:Mon,%2004%20Oct%202021%2006:13:52%20GMT	http://aquaterias.like-themes.com/events/?ical=1	C:/Users/DELL/Desktop/VINOD/shreesai/aquaterias.like-themes.com/events/indexedf3.html	(from http://aquaterias.like-themes.com/)
11:43:56	1519/1519	---M--	200	added ('OK')	image/png	etag:%225ef-582c15d87c60c%22	http://aquaterias.like-themes.com/wp-content/uploads/2017/12/heading-bg.png	C:/Users/DELL/Desktop/VINOD/shreesai/aquaterias.like-themes.com/wp-content/uploads/2017/12/heading-bg.png	(from http://aquaterias.like-themes.com/)
11:43:57	27789/27789	---MC-	200	added ('OK')	application/rss+xml	etag:%2234e7190f91308538b7c55c3f86c56236%22	http://aquaterias.like-themes.com/feed/	C:/Users/DELL/Desktop/VINOD/shreesai/aquaterias.like-themes.com/feed/index.html	(from http://aquaterias.like-themes.com/)
11:43:57	2936/2936	---M--	200	added ('OK')	image/png	etag:%22b78-582c15d87a6cc%22	http://aquaterias.like-themes.com/wp-content/uploads/2017/12/go-top.png	C:/Users/DELL/Desktop/VINOD/shreesai/aquaterias.like-themes.com/wp-content/uploads/2017/12/go-top.png	(from http://aquaterias.like-themes.com/)
